hx,hy,hwidth,hheight,y,x,id,pays,Negiria,Maroc,South Africa,Senegal,Kenya,France,Italie,Espagne,Allemagne,Suisse,Belgique,Albanie,Royaum Uni,Turquie,Autriche,Finlande,Canada,Mexique,Etats Uni,Guatemala,Cuba,Equateur,Brasil,Venezuela,Chili,Argentine,Bolivie,Nicaragua,Inde,Japan,Malaisie,Sri Lanka,
1,1,1,1,41.003946,28.874808,Turquie,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,0,
1,1,1,1,48.202755,16.391037,Autriche,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,0,
1,1,1,1,60.174818,24.93762,Finlande,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,0,
1,1,1,1,43.700784,-79.378755,Canada,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,0,
1,1,1,1,29.3254182,-100.9327749,Mexique,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,0,
1,1,1,1,40.780881,-73.9595061,Etats Unis,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,0,
1,1,1,1,15.679645,-90.326631,Guatemala,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,0,
1,1,1,1,22.534767,-79.952849,Cuba,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,0,
1,1,1,1,-1.5193273,-0.0180241,Equateur,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,0,
1,1,1,1,-23.537451,-46.701095,Brasil,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,0,
1,1,1,1,10.245555,-67.611594,Venezuela,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,0,
1,1,1,1,-27.371430,-70.325515,Chili,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,0,
1,1,1,1,-35.705022,-65.678347,Argentine,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,0,
1,1,1,1,-16.218173,-65.260733,Bolivie,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,0,
1,1,1,1,12.987841,-85.285398,Nicaragua,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,0,
1,1,1,1,17.399049,78.424470,Inde,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,0,
1,1,1,1,35.707759,139.720257,Japan,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,0,
1,1,1,1,2.952418,101.708458,Malaisie,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,0,
1,1,1,1,7.644893,80.515346,Sri Lanka,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,0,
